Age,Gender,Lifestyle,Habit 01,Habit 02,Habit 03,Habit 04,Habit 05,Habit 06,Recommendation
15,Male,School Student,Floss,Be Grateful,Sleep at least 8 hours ,Workout,Eat More Vegetables and Fruits,Brush Teeth in the Morning,Breathing Exercises
15,Male,School Student,Meditate,No Sweets,Pray,Take a walk outside,Read a book for 30 minutes,Brush Teeth in the Morning,Balanced Diet
15,Male,School Student,Meditate For At Least 10 Minutes,No Screens After 10 pm,Duolingo,Floss,Duolingo,Pray,Practice gratitude
15,Male,School Student,Floss,Brush Teeth in the Morning,Take Vitamins,Go to gym,Wake up early,Write In Journal,Fiber-rich diet
15,Male,School Student,Be Grateful,No Soda,Duolingo,Sleep at least 8 hours ,Take Vitamins,Duolingo,Breathing Exercises
15,Male,School Student,Wake up early,Clean for 15 Minutes,Paint,Set priorities for your day,Go for a weekly hike,Eat Breakfast,Spend time outdoors
15,Male,School Student,Be Grateful,Exercise,Exercise,No Sugar,No Sugar,Draw,Walking
15,Male,School Student,Meditate For At Least 10 Minutes,Sleep at least 8 hours ,Exercise,No Sugar,Draw,Make Bed,Walking
15,Male,School Student,Floss,Take Vitamins,Eat Breakfast,Yoga,Brush Teeth in the Morning,Go to gym,Mindfulness
15,Female,School Student,Set priorities for your day,Meditate For At Least 10 Minutes,Floss,Eat More Vegetables and Fruits,Floss,Duolingo,Breathing Exercises
15,Female,School Student,Read a book for 30 minutes,Affirmations,Eat More Vegetables and Fruits,Eat Breakfast,Listen to podcast,No Soda,Mindful Eating
15,Female,School Student,Meditate,Make Bed,Take Vitamins,Write In Journal,Exercise,Meditate,Running
15,Female,School Student,Be Grateful,Stretch,Yoga,Stretch,Yoga,No Screens After 10 pm,Deep breathing exercises
15,Female,School Student,Exercise,Learn To Speak a Foreign Language,No Screens After 10 pm,Learn To Speak a Foreign Language,Drink more water,Wake up early,Swimming
15,Female,School Student,Drink more water,Learn Something New,Stretch,Wake up early,No Sweets,Eat Breakfast,Balanced Diet
15,Female,School Student,Floss,Write In Journal,Take Vitamins,Paint,Meditate For At Least 10 Minutes,No Sugar,Breathing Exercises
15,Female,School Student,Meditate For At Least 10 Minutes,Paint,Drink more water,Pray,Take a walk outside,Sleep by Midnight,Drink plenty of water
15,Female,School Student,Drink more water,No Soda,Meditate,Workout,Weekly social media detox,Learn Something New,Puzzles
15,Female,School Student,Meditate,Sleep at least 8 hours ,Brush Teeth in the Morning,Floss,Drink more water,Be Grateful,Playing musical instruments
15,Female,School Student,Exercise,Eat Breakfast,Take a walk outside,Exercise,Set priorities for your day,Be Grateful,Walking
16,Female,School Student,Floss,Read a book for 30 minutes,Eat Breakfast,Go to gym,Listen to podcast,Floss,Fiber-rich diet
16,Female,School Student,Exercise,Affirmations,Take Vitamins,Listen to podcast,Draw,Go for a weekly hike,Swimming
16,Female,School Student,Be Grateful,Set priorities for your day,Meditate,Write In Journal,No Screens After 10 pm,Write Three Positive Things About Today,Reading
16,Female,School Student,Exercise,Practice Musical Instrument,Eat Breakfast,Draw,Stretch,Yoga,Strength training
